id,alert_rule_id,run_hour,operator,receiving_country,price_gap,total_sending_amount,gme_baseline,notified_at,email_sent_to,alert_type,threshold
508,13,2026-04-07 18:00,Coinshot,Indonesia,0.03246577290594033,1156777,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
515,13,2026-04-07 18:00,JRF,Indonesia,0.3047257949174025,1132032,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
514,13,2026-04-07 18:00,Hanpass,Indonesia,0.17744584650803574,1144607,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
513,13,2026-04-07 18:00,Utransfer,Indonesia,0.17251306115652731,1145100,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
512,13,2026-04-07 18:00,GMoneyTrans,Indonesia,0.13610485270620565,1146252,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
511,13,2026-04-07 18:00,Cross,Indonesia,0.10361275525974634,1152031,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
510,13,2026-04-07 18:00,E9Pay,Indonesia,0.06002873071938453,1156459,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
509,13,2026-04-07 18:00,SBI,Indonesia,0.05087830840440333,1157393,1162614,2026-04-07T09:01:54.379712+00:00,lanovk@gmeremit.com,rate,0.01
506,6,2026-04-07 18:00,GMoneyTrans,Indonesia,-16362,1146252,1162614,2026-04-07T09:01:52.782019+00:00,lanovk@gmeremit.com,price,-100
507,6,2026-04-07 18:00,E9Pay,Indonesia,-6155,1156459,1162614,2026-04-07T09:01:52.782019+00:00,lanovk@gmeremit.com,price,-100
505,9,2026-04-07 18:00,Hanpass,Thailand,-4178,1197962,1202140,2026-04-07T09:01:41.645364+00:00,lanovk@gmeremit.com,price,-100
504,11,2026-04-07 17:30,JRF,Thailand,-1118,1203764,1204882,2026-04-07T08:31:37.251737+00:00,lanovk@gmeremit.com,price,-100
503,6,2026-04-07 17:30,E9Pay,Indonesia,-6155,1156459,1162614,2026-04-07T08:31:32.416439+00:00,lanovk@gmeremit.com,price,-100
502,1,2026-04-07 17:00,GMoneyTrans,Indonesia,-10851,1151763,1162614,2026-04-07T08:01:51.063368+00:00,lanovk@gmeremit.com,price,-100
