id,receiving_country,operator,delivery_method,fee_krw,notes,updated_at,manually_edited,edited_at,effective_until,original_fee
576,Laos,E9Pay,Bank Deposit,5000,,2026-03-30T09:01:01.839+00:00,false,,,
577,Laos,Hanpass,Bank Deposit,5000,,2026-03-30T09:01:01.839+00:00,false,,,
590,India,WireBarley,Bank Deposit,0,,2026-03-30T09:06:13.759+00:00,false,,,
591,India,Sentbe,Bank Deposit,0,,2026-03-30T09:06:13.76+00:00,false,,,
592,India,GMoneyTrans,Bank Deposit,5000,,2026-03-30T09:06:13.76+00:00,false,,,
594,India,Hanpass,Bank Deposit,5000,,2026-03-30T09:06:13.76+00:00,false,,,
600,Philippines,GMoneyTrans,Cash Pickup,5000,,2026-04-02T05:30:49.148+00:00,false,,,
601,Philippines,Hanpass,Cash Pickup,5000,,2026-04-02T05:30:49.148+00:00,false,,,
602,Philippines,E9Pay,Cash Pickup,5000,,2026-04-02T05:30:49.148+00:00,false,,,
603,Philippines,JRF,Cash Pickup,5000,,2026-04-02T05:30:49.148+00:00,false,,,
608,Bangladesh,Hanpass,Bank Deposit,5000,,2026-04-02T06:31:28.972+00:00,false,,,
609,Bangladesh,JRF,Bank Deposit,5000,,2026-04-02T06:31:28.972+00:00,false,,,
611,Russia,GMoneyTrans,Cash Payment,5000,,2026-04-03T01:35:09.762+00:00,false,,,
612,Russia,E9Pay,Cash Payment,7000,,2026-04-03T01:35:09.762+00:00,false,,,
614,Russia,E9Pay,Card Payment,2000,,2026-04-03T01:35:09.762+00:00,false,,,
615,Bangladesh,Cross,Bank Deposit,5000,,2026-04-03T01:41:01.329+00:00,false,,,
617,Uzbekistan,GMoneyTrans,Cash Pickup,5000,,2026-04-06T06:30:57.666+00:00,false,,,
618,Uzbekistan,E9Pay,Cash Pickup,7000,,2026-04-06T06:30:57.666+00:00,false,,,
619,Uzbekistan,Coinshot,Cash Pickup,5000,,2026-04-06T06:30:57.666+00:00,false,,,
620,Uzbekistan,Hanpass,Cash Pickup,5000,,2026-04-06T06:30:57.666+00:00,false,,,
622,Uzbekistan,GMoneyTrans,Card Payment,2500,,2026-04-06T07:01:04.421+00:00,false,,,
623,Uzbekistan,E9Pay,Card Payment,2000,,2026-04-06T07:01:04.421+00:00,false,,,
624,Uzbekistan,Coinshot,Card Payment,5000,,2026-04-06T07:01:04.421+00:00,false,,,
625,Uzbekistan,Hanpass,Card Payment,2500,,2026-04-06T07:01:04.421+00:00,false,,,
626,Laos,GMoneyTrans,Bank Deposit,5000,,2026-04-06T07:01:07.364+00:00,false,,,
627,Cambodia,Hanpass,Cash Pickup,5000,,2026-04-06T07:31:01.282+00:00,false,,,
629,Cambodia,GMoneyTrans,Cash Pickup,4000,,2026-04-06T07:31:01.282+00:00,false,,,
630,Cambodia,SBI,Cash Pickup,5000,,2026-04-06T07:31:01.282+00:00,false,,,
631,Cambodia,E9Pay,Cash Pickup,5000,,2026-04-06T07:31:01.282+00:00,false,,,
633,Kazakhstan,GMoneyTrans,Cash Pickup,5000,,2026-04-06T08:00:59.368+00:00,false,,,
634,Kazakhstan,E9Pay,Cash Pickup,7000,,2026-04-06T08:00:59.368+00:00,false,,,
635,Kazakhstan,Coinshot,Cash Pickup,8000,,2026-04-06T08:00:59.368+00:00,false,,,
636,Kazakhstan,Hanpass,Cash Pickup,0,,2026-04-06T08:00:59.368+00:00,false,,,
637,Kazakhstan,Cross,Cash Pickup,5000,,2026-04-06T08:00:59.368+00:00,false,,,
639,Kyrgyzstan,GMoneyTrans,Cash Pickup,5000,,2026-04-06T08:01:42.261+00:00,false,,,
640,Kyrgyzstan,E9Pay,Cash Pickup,7000,,2026-04-06T08:01:42.261+00:00,false,,,
641,Kyrgyzstan,Coinshot,Cash Pickup,8000,,2026-04-06T08:01:42.261+00:00,false,,,
642,Kyrgyzstan,Hanpass,Cash Pickup,0,,2026-04-06T08:01:42.261+00:00,false,,,
643,Kyrgyzstan,Cross,Cash Pickup,5000,,2026-04-07T00:04:53.474+00:00,false,,,
5,Myanmar,GME,Bank Deposit,8000,,2026-04-12T03:01:01.713+00:00,true,2026-04-09T06:10:18.337+00:00,,5000
10,Mongolia,GME,Bank Deposit,2500,,2026-04-12T03:31:22.966+00:00,false,,,
613,Russia,GME,Card Payment,5000,,2026-04-12T03:01:43.571+00:00,false,,,
621,Uzbekistan,GME,Card Payment,2000,,2026-04-12T03:01:09.939+00:00,false,,,
62,China,GME,Alipay,0,,2026-04-12T03:31:32.124+00:00,false,,,
76,Nepal,GME,Bank Deposit,0,,2026-04-12T03:30:55.484+00:00,false,,,
599,Philippines,GME,Cash Pickup,5000,,2026-04-12T03:01:45.582+00:00,false,,,
638,Kyrgyzstan,GME,Cash Pickup,5000,,2026-04-12T03:30:57.128+00:00,false,,,
25,Indonesia,GME,Bank Deposit,5000,,2026-04-12T03:31:42.557+00:00,false,,,
