Timestamp,Run Hour,Operator,Receiving Country,Receive Amount,Send Amount KRW,Receive Multiplier,Adjusted Sending Amount,Service Fee,Total Sending Amount (KRW),GME Baseline (KRW),Price Gap,Column 11
1/29/2026 11:53:57,2026-01-29 11:00,GMoneyTrans,Indonesia,"13,000,000","1,117,578",1,"1,117,578","2,500","1,120,078",,"1,120,078",Expensive than GME
1/29/2026 11:59:46,2026-01-29 11:00,Hanpass,Indonesia,"13,000,000","1,113,334",1,"1,113,334","5,000","1,118,334",,"1,118,334",Expensive than GME
1/29/2026 12:00:12,2026-01-29 12:00,Hanpass,Indonesia,"13,000,000","1,113,334",1,"1,113,334","5,000","1,118,334",,"1,118,334",Expensive than GME
1/30/2026 11:01:01,2026-01-30 11:00,Hanpass,Indonesia,"13,000,000","1,124,058",1,"1,124,058","5,000","1,129,058","1,129,248",-190,Cheaper than GME
1/30/2026 11:02:02,2026-01-30 11:00,Sentbe,Indonesia,"13,000,000","1,121,302",1,"1,121,302","5,000","1,126,302","1,129,248","-2,946",Cheaper than GME
1/30/2026 11:03:31,2026-01-30 11:00,Sentbe,Indonesia,"13,000,000","1,121,523",1,"1,121,523","5,000","1,126,523","1,129,248","-2,725",Cheaper than GME
1/30/2026 11:05:54,2026-01-30 11:00,Sentbe,Indonesia,"13,000,000","1,121,029",1,"1,121,029","5,000","1,126,029","1,129,248","-3,219",Cheaper than GME
1/30/2026 11:16:02,2026-01-30 11:00,Utransfer,Indonesia,"13,000,000","1,112,800",1,"1,112,800","5,000","1,117,800","1,129,248","-11,448",Cheaper than GME
1/30/2026 11:32:58,2026-01-30 11:00,Global Money Express,Indonesia,"13,000,000","1,129,248",1,"1,129,248",0,"1,129,248","1,129,248",0,GME
1/30/2026 11:34:06,2026-01-30 11:00,Global Money Express,Indonesia,"13,000,000","1,129,248",1,"1,129,248",0,"1,129,248","1,129,248",0,GME
1/30/2026 11:40:42,2026-01-30 11:00,SBI,Indonesia,"13,000,000","1,121,338",1,"1,121,338","5,000","1,126,338","1,129,248","-2,910",Cheaper than GME
1/30/2026 15:07:34,2026-01-30 15:00,Cross,Indonesia,"13,000,000","1,119,057",1,"1,119,057","5,000","1,124,057",,"1,124,057",Expensive than GME
1/30/2026 15:14:07,2026-01-30 15:00,Coinshot,Indonesia,"13,000,000","1,116,135",1,"1,116,135","2,500","1,118,635",,"1,118,635",Expensive than GME
1/30/2026 16:20:55,2026-01-30 16:00,WireBarley,Indonesia,"13,000,000","1,204,758",1,"1,204,758",0,"1,204,758",,"1,204,758",Expensive than GME
1/30/2026 16:21:41,2026-01-30 16:00,WireBarley,Thailand,"13,000,000","1,204,758",1,"1,204,758",0,"1,204,758",,"1,204,758",Expensive than GME
1/30/2026 16:25:04,2026-01-30 16:00,SBI,Thailand,"13,000,000","1,197,381",1,"1,197,381",0,"1,197,381",,"1,197,381",Expensive than GME
1/30/2026 16:25:27,2026-01-30 16:00,WireBarley,Thailand,"13,000,000","1,206,100",1,"1,206,100",0,"1,206,100",,"1,206,100",Expensive than GME
1/30/2026 16:26:22,2026-01-30 16:00,SBI,Thailand,"26,000","1,197,381",1,"1,197,381",0,"1,197,381",,"1,197,381",Expensive than GME
1/30/2026 16:26:38,2026-01-30 16:00,WireBarley,Thailand,"26,000","1,206,100",1,"1,206,100",0,"1,206,100",,"1,206,100",Expensive than GME
1/30/2026 16:59:39,2026-01-30 16:00,Coinshot,Indonesia,"13,000,000","1,116,135",1,"1,116,135","2,500","1,118,635",,"1,118,635",Expensive than GME
1/30/2026 16:59:53,2026-01-30 16:00,Cross,Indonesia,"13,000,000","1,120,945",1,"1,120,945","5,000","1,125,945",,"1,125,945",Expensive than GME
1/30/2026 17:00:07,2026-01-30 17:00,Global Money Express,Indonesia,"13,000,000","1,125,690",1,"1,125,690",0,"1,125,690","1,125,690",0,GME
1/30/2026 17:00:21,2026-01-30 17:00,GMoneyTrans,Indonesia,"13,000,000","1,119,416",1,"1,119,416","2,500","1,121,916","1,125,690","-3,774",Cheaper than GME
1/30/2026 17:00:41,2026-01-30 17:00,Hanpass,Indonesia,"13,000,000","1,115,743",1,"1,115,743","5,000","1,120,743","1,125,690","-4,947",Cheaper than GME
